o 	 w 	 F_D
1.695120544634445281e+00 -1.654819715421076198e+00 1.351999999999999869e+00
1.686476796348831186e+00 -1.655664407215132083e+00 1.351999999999999869e+00
1.694385658701531128e+00 -1.654892377432306771e+00 1.351999999999999869e+00
1.685741535709897931e+00 -1.655735249827304134e+00 1.351999999999999869e+00
1.693650740537830046e+00 -1.654964885808692499e+00 1.351999999999999869e+00
1.685006243647013235e+00 -1.655805936428850211e+00 1.351999999999999869e+00
1.692915790202345505e+00 -1.655037240353016914e+00 1.351999999999999869e+00
1.692180807775567786e+00 -1.655109440855889291e+00 1.351999999999999869e+00
1.691445793324572122e+00 -1.655181487118729144e+00 1.351999999999999869e+00
1.690710746904610318e+00 -1.655253378942527664e+00 1.351999999999999869e+00
1.689975668594126290e+00 -1.655325116123787854e+00 1.351999999999999869e+00
1.689240558461559516e+00 -1.655396698458115434e+00 1.351999999999999869e+00
1.688505416584444419e+00 -1.655468125740834351e+00 1.351999999999999869e+00
1.696413330129306729e+00 -1.654691510932885468e+00 1.351999999999999869e+00
1.687770243014849569e+00 -1.655539397776484734e+00 1.351999999999999869e+00
1.695678501067664712e+00 -1.654764442737324037e+00 1.351999999999999869e+00
1.687035037827808281e+00 -1.655610514362227503e+00 1.351999999999999869e+00
1.694943639658479384e+00 -1.654837221261516778e+00 1.351999999999999869e+00
1.686299801096762252e+00 -1.655681475291877813e+00 1.351999999999999869e+00
1.694208745957912043e+00 -1.654909846307461407e+00 1.351999999999999869e+00
1.685564532891060452e+00 -1.655752280364205520e+00 1.351999999999999869e+00
1.693473820044406608e+00 -1.654982317669695835e+00 1.351999999999999869e+00
1.684829233272093774e+00 -1.655822929380333930e+00 1.351999999999999869e+00
1.692738861978444476e+00 -1.655054635150004172e+00 1.351999999999999869e+00
1.692003871833467343e+00 -1.655126798543647304e+00 1.351999999999999869e+00
1.691268849678824182e+00 -1.655198807647173087e+00 1.351999999999999869e+00
1.690533795579998610e+00 -1.655270662261008940e+00 1.351999999999999869e+00
1.683437175743041081e+00 -1.659301889534855468e+00 1.352999999999999758e+00
1.691363425468704662e+00 -1.658533032027829979e+00 1.352999999999999758e+00
1.682700299843222780e+00 -1.659372431617510690e+00 1.352999999999999758e+00
1.690626890630195334e+00 -1.658605250267391584e+00 1.352999999999999758e+00
1.681963392654285627e+00 -1.659442816718654568e+00 1.352999999999999758e+00
1.689890323755872004e+00 -1.658677313710318124e+00 1.352999999999999758e+00
1.681226454245237534e+00 -1.659513044634352896e+00 1.352999999999999758e+00
1.689153724914401522e+00 -1.658749222153300895e+00 1.352999999999999758e+00
1.680489484681448431e+00 -1.659583115164743994e+00 1.352999999999999758e+00
1.688417094173995991e+00 -1.658820975394189601e+00 1.352999999999999758e+00
1.687680431605368625e+00 -1.658892573228433420e+00 1.352999999999999758e+00
1.686943737275139910e+00 -1.658964015456463992e+00 1.352999999999999758e+00
1.686207011253568311e+00 -1.659035301871611301e+00 1.352999999999999758e+00
1.685470253610002800e+00 -1.659106432271533649e+00 1.352999999999999758e+00
1.684733464413110227e+00 -1.659177406454553250e+00 1.352999999999999758e+00
1.683996643734968046e+00 -1.659248224215266188e+00 1.352999999999999758e+00
1.691922634002711590e+00 -1.658478095509917649e+00 1.352999999999999758e+00
1.683259791641287251e+00 -1.659318885352666584e+00 1.352999999999999758e+00
1.691186123535704411e+00 -1.658550431145892068e+00 1.352999999999999758e+00
1.682522908201644185e+00 -1.659389389664960746e+00 1.352999999999999758e+00
1.690449580976039812e+00 -1.658622612142003794e+00 1.352999999999999758e+00
1.681785993492663778e+00 -1.659459736944945085e+00 1.352999999999999758e+00
1.689713006401479589e+00 -1.658694638289190504e+00 1.352999999999999758e+00
1.681049047572098942e+00 -1.659529926995098936e+00 1.352999999999999758e+00
1.688976399876370493e+00 -1.658766509389077770e+00 1.352999999999999758e+00
1.680312070522486323e+00 -1.659599959605404074e+00 1.352999999999999758e+00
1.688239761469152000e+00 -1.658838225236929587e+00 1.352999999999999758e+00
1.687503091247581466e+00 -1.658909785631307532e+00 1.352999999999999758e+00
1.686766389281007861e+00 -1.658981190369627878e+00 1.352999999999999758e+00
1.686029655641963387e+00 -1.659052439244637966e+00 1.352999999999999758e+00
1.679045585417487274e+00 -1.663005351239607243e+00 1.353999999999999648e+00
1.686989545665380064e+00 -1.662242968407247945e+00 1.353999999999999648e+00
1.678307065025851585e+00 -1.663075283652731384e+00 1.353999999999999648e+00
1.686251363457184738e+00 -1.662314591403893704e+00 1.353999999999999648e+00
1.677568513614875911e+00 -1.663145057738314225e+00 1.353999999999999648e+00
1.685513149479657358e+00 -1.662386058266498434e+00 1.353999999999999648e+00
1.676829931252317607e+00 -1.663214673291806722e+00 1.353999999999999648e+00
1.684774903791801393e+00 -1.662457368797570778e+00 1.353999999999999648e+00
1.676091318012186804e+00 -1.663284130109996095e+00 1.353999999999999648e+00
1.684036626477176668e+00 -1.662528522784069152e+00 1.353999999999999648e+00
1.683298317603995287e+00 -1.662599520023601229e+00 1.353999999999999648e+00
